LOGO,CATEGORY,RANK,ITEM_ID,IS_NEW
default,Apparel,45,TM16255,false
default,Apparel,46,TM19598,false
default,Apparel,47,TM16310,false
default,Apparel,48,TM98138,false
default,Apparel,49,TM18138,false
default,Apparel,50,TM96255,false
default,Apparel,51,TM18311,false
default,Apparel,52,TM12725,false
default,Apparel,53,TM98408,false
default,Apparel,54,TM98610,false
default,Apparel,55,TM18220,false
default,Apparel,56,TM96209,false
default,Apparel,57,TM18610,false
default,Apparel,58,TM12608,false
default,Apparel,59,TM16315,false
default,Apparel,60,TM12605,false
default,Apparel,61,TM17744,false
default,Apparel,62,TM19597,false
default,Apparel,63,TM16314,false
default,Apparel,64,TM12504,false
default,Apparel,65,TM98139,false
default,Apparel,66,TM17873,false
default,Apparel,67,TM12939,false
default,Apparel,68,TM99307,false
default,Apparel,69,TM19548,false
default,Apparel,70,TM92605,false
default,Apparel,71,TM18611,false
default,Apparel,72,TM18215,false
default,Apparel,73,TM18143,false
default,Apparel,74,TM96310,false
default,Apparel,75,TM92725,false
default,Apparel,76,TM92608,false
default,Apparel,77,TM92504,false
default,Apparel,78,TM98611,false
default,Apparel,79,TM19652,false
default,Apparel,80,TM96314,false
default,Apparel,81,TM92939,false
default,Apparel,82,TM98311,false
default,Apparel,83,TM98220,false
default,Apparel,84,TM18154,false
default,Apparel,85,TM98143,false
default,Apparel,86,TM99597,false
default,Apparel,87,TM96309,false
default,Apparel,88,TM19542,false
default,Apparel,89,TM98215,false
default,Apparel,90,TM99101,false
default,Apparel,91,TM16627,false
default,Apparel,92,TM99598,false
default,Apparel,93,TM99652,false
default,Apparel,94,TM98154,false
default,Apparel,95,TM97744,false
default,Apparel,96,TM92604,false
default,Apparel,97,TM19898,false
default,Apparel,98,TM18162,false
default,Apparel,99,TM99542,false
default,Apparel,100,TM99548,false
default,Apparel,101,TM18505,false
default,Apparel,102,TM97873,false
default,Apparel,103,TM18702,false
default,Apparel,104,TM99898,false
default,Apparel,105,TM17745,false
default,Apparel,106,TM96315,false
default,Apparel,107,TM98162,false
default,Apparel,108,TM98702,false
default,Apparel,109,TM96627,false
default,Apparel,110,TM98505,false
default,Apparel,111,TM18161,false
default,Apparel,112,TM98161,false
default,Apparel,113,TM12726,false
default,Apparel,114,TM97745,false
default,Apparel,115,TM92726,false
default,Technology,1,7120-15,false
default,Technology,2,7141-11,false
default,Technology,3,7197-25,false
default,Technology,4,SM-3310,false
default,Technology,5,8053-08,false
default,Technology,6,SM-3714,false
default,Technology,7,7197-64,false
default,Technology,8,7198-26,false
default,Technology,9,7141-68,false
default,Technology,10,SM-2927,false
default,Technology,11,7124-14,false
default,Technology,12,SM-2572,false
default,Technology,13,SM-3763,false
default,Technology,14,7199-32,false
default,Technology,15,SM-2575,false
default,Technology,16,SM-3923,false
default,Technology,17,7197-05,false
default,Technology,18,7198-44,false
default,Technology,19,7121-71,false
